date,fuel_type,pump_price,duty_rate,vat_rate
2006-03-20,diesel,94.42,47.1,17.5
2006-03-20,petrol,90.19,47.1,17.5
2006-03-27,diesel,94.95,47.1,17.5
2006-03-27,petrol,91.16,47.1,17.5
2006-04-03,diesel,95.64,47.1,17.5
2006-04-03,petrol,91.78,47.1,17.5
2006-04-10,diesel,96.4,47.1,17.5
2006-04-10,petrol,92.77,47.1,17.5
2006-04-18,diesel,97.64,47.1,17.5
2006-04-18,petrol,94.23,47.1,17.5
2006-04-24,diesel,98.5,47.1,17.5
2006-04-24,petrol,95.35,47.1,17.5
2006-05-01,diesel,98.9,47.1,17.5
2006-05-01,petrol,96.13,47.1,17.5
2006-05-08,diesel,98.9,47.1,17.5
2006-05-08,petrol,96.46,47.1,17.5
2006-05-15,diesel,98.74,47.1,17.5
2006-05-15,petrol,96.39,47.1,17.5
2006-05-22,diesel,98.5,47.1,17.5
2006-05-22,petrol,96.1,47.1,17.5
2006-05-29,diesel,97.69,47.1,17.5
2006-05-29,petrol,95.36,47.1,17.5
2006-06-05,diesel,97.55,47.1,17.5
2006-06-05,petrol,95.24,47.1,17.5
2006-06-12,diesel,97.75,47.1,17.5
2006-06-12,petrol,95.49,47.1,17.5
2006-06-19,diesel,97.77,47.1,17.5
2006-06-19,petrol,95.44,47.1,17.5
2006-06-26,diesel,97.36,47.1,17.5
2006-06-26,petrol,94.97,47.1,17.5
2006-07-03,diesel,97.6,47.1,17.5
2006-07-03,petrol,95.27,47.1,17.5
2006-07-10,diesel,97.99,47.1,17.5
2006-07-10,petrol,95.69,47.1,17.5
2006-07-17,diesel,98.74,47.1,17.5
2006-07-17,petrol,96.88,47.1,17.5
2006-07-24,diesel,99.41,47.1,17.5
2006-07-24,petrol,97.78,47.1,17.5
2006-07-31,diesel,99.41,47.1,17.5
2006-07-31,petrol,97.83,47.1,17.5
2006-08-07,diesel,99.57,47.1,17.5
2006-08-07,petrol,98.05,47.1,17.5
2006-08-14,diesel,99.45,47.1,17.5
2006-08-14,petrol,97.82,47.1,17.5
2006-08-21,diesel,97.93,47.1,17.5
2006-08-21,petrol,95.74,47.1,17.5
2006-08-28,diesel,96.67,47.1,17.5
2006-08-28,petrol,94.4,47.1,17.5
2006-09-04,diesel,95.92,47.1,17.5
2006-09-04,petrol,92.88,47.1,17.5
2006-09-11,diesel,95.34,47.1,17.5
2006-09-11,petrol,91.48,47.1,17.5
2006-09-18,diesel,94.95,47.1,17.5
2006-09-18,petrol,89.78,47.1,17.5
2006-09-25,diesel,93.51,47.1,17.5
2006-09-25,petrol,88.2,47.1,17.5
2006-10-02,diesel,92.13,47.1,17.5
2006-10-02,petrol,86.95,47.1,17.5
2006-10-09,diesel,91.74,47.1,17.5
2006-10-09,petrol,86.6,47.1,17.5
2006-10-16,diesel,91.59,47.1,17.5
2006-10-16,petrol,85.91,47.1,17.5
2006-10-23,diesel,91.22,47.1,17.5
2006-10-23,petrol,85.74,47.1,17.5
2006-10-30,diesel,91.17,47.1,17.5
2006-10-30,petrol,85.6,47.1,17.5
2006-11-06,diesel,91.12,47.1,17.5
2006-11-06,petrol,85.54,47.1,17.5
2006-11-13,diesel,91.15,47.1,17.5
2006-11-13,petrol,85.49,47.1,17.5
2006-11-20,diesel,91.17,47.1,17.5
2006-11-20,petrol,85.45,47.1,17.5
2006-11-27,diesel,91.17,47.1,17.5
2006-11-27,petrol,85.47,47.1,17.5
2006-12-04,diesel,91.5,47.1,17.5
2006-12-04,petrol,85.46,47.1,17.5
2006-12-11,diesel,92.96,48.35,17.5
2006-12-11,petrol,87.44,48.35,17.5
2006-12-18,diesel,93.26,48.35,17.5
2006-12-18,petrol,87.7,48.35,17.5
2006-12-25,diesel,93.41,48.35,17.5
2006-12-25,petrol,87.9,48.35,17.5
2007-01-01,diesel,93.4,48.35,17.5
2007-01-01,petrol,87.85,48.35,17.5
2007-01-08,diesel,93.11,48.35,17.5
2007-01-08,petrol,87.66,48.35,17.5
2007-01-15,diesel,91.55,48.35,17.5
2007-01-15,petrol,87.1,48.35,17.5
2007-01-22,diesel,90.45,48.35,17.5
2007-01-22,petrol,86.28,48.35,17.5
2007-01-29,diesel,89.7,48.35,17.5
2007-01-29,petrol,85.66,48.35,17.5
2007-02-05,diesel,89.63,48.35,17.5
2007-02-05,petrol,85.62,48.35,17.5
2007-02-12,diesel,90.11,48.35,17.5
2007-02-12,petrol,86.12,48.35,17.5
2007-02-19,diesel,90.55,48.35,17.5
2007-02-19,petrol,86.6,48.35,17.5
2007-02-26,diesel,91.02,48.35,17.5
2007-02-26,petrol,87.07,48.35,17.5
2007-03-05,diesel,91.59,48.35,17.5
2007-03-05,petrol,87.74,48.35,17.5
2007-03-12,diesel,92.17,48.35,17.5
